Day,Accumulated Sales,Accumulated Trading Profit,Accumulated Operating Expense,Accumulated Net Profit
11,3884441,3188366,956351,2232015
12,4529542,3766677,1015538,2751139
13,6283594,4758204,1214119,3544085
14,6924777,5338558,1266462,4072096
15,7574248,5930791,1320625,4610166
16,8292171,6598836,1510976,5087860
17,9006008,7250463,1583661,5666802
18,11416640,8621771,1635824,6985947
19,13008369,9573551,1738987,7834564
20,13805319,10317867,1815052,8502815
21,14628529,11086184,1891761,9194423
22,15435262,11841428,1985256,9856172
23,16248242,12602438,2044007,10558431
24,17071596,13373765,2390888,10982877
25,18870976,14318122,2492125,11825997
26,21040251,15428508,2645502,12783006
27,21841183,16181227,2703691,13477536
28,22640615,16934562,2980020,13954542
29,23737965,17729669,3036209,14693460
30,24994545,18572154,3091626,15480528
31,25733572,19270430,3196298,16074132
32,26470233,19966223,3255621,16710602
33,30044345,23353279,3320457,20032822
34,34593513,26778250,3387617,23390633
35,38270409,30264412,3638579,26625833
36,40020668,31265812,3804596,27461216
37,41321464,32164308,3879350,28284958
38,42212225,32923218,4175667,28747551
39,43196244,33867366,4239129,29628237
40,44045255,34674169,4303087,30371082
41,45563840,35645393,4365617,31279776
42,46415956,36456247,4485156,31971091
43,49493944,38072074,4828783,33243291
44,53337031,41734124,4893345,36840779
45,57064404,45287376,5051723,40235653
46,58264195,46047060,5137285,40909775
47,59224820,46962413,5199847,41762566
48,60210161,47901523,5317832,42583691
49,61295850,48942397,5390402,43551995
50,62260660,49862720,5543592,44319128
51,63141873,50704479,5619212,45085267
52,65609461,53058817,5683452,47375365
53,68903337,55684974,6035991,49648983
54,71409254,58081906,6112928,51968978
55,72330986,58964083,6366640,52597443
56,73859172,60068292,6470263,53598029
57,74806763,60973838,6529984,54443854
58,75758851,61884711,6646879,55237832
59,77317939,62945867,6712872,56232995
60,78252733,63840777,6774793,57065984
61,79144038,64695177,7002194,57692983
62,80067601,65580458,7062846,58517612
63,81619076,66586979,7133292,59453687
64,82898128,67544279,7207688,60336591
65,86879924,71362166,7398849,63963317
66,87803608,72248388,7584439,64663949
67,90581675,73724035,7749813,65974222
68,92126303,74793793,7840512,66953281
69,93012133,75645067,7942822,67702245
70,99546090,81089634,8130951,72958683
71,104819730,86164295,8259165,77905130
72,109631657,90359306,8418067,81941239
73,110808118,91297648,8614341,82683307
74,112133060,92288892,8827511,83461381
75,113639505,93389490,8882040,84507450
76,114597504,94308993,8994169,85314824
77,115843075,95235778,9153543,86082235
78,117763675,96435877,9253606,87182271
79,118684402,97320385,9483912,87836473
80,119571262,98172790,9535581,88637209
81,121202813,99175968,9736424,89439544
82,122369454,100109001,10133609,89975392
83,123802977,101123827,10197529,90926298
84,130006370,106735409,10390954,96344455
85,136320970,112304514,10728805,101575709
86,137269663,113218268,10994819,102223449
87,138239813,114152313,11131468,103020845
88,140644035,115246084,11184368,104061716
89,141787312,116109301,11250293,104859008
90,143297890,117160943,11342193,105818750
